title
ABG Development Tech Radar
===
date
2022-12-16
===
quadrant,   alias
q1,         langlib
q2,         techniques
q3,         platforms
q4,         tools
===
quadrant,   title
q1,         Languages & Frameworks
q2,         Methods & Techniques
q3,         Platforms & Infrastructure 
q4,         Tools
===
name,                       quadrant,      ring,   description
Snyk,Assess,tools,TRUE,We could use Snyk to scan for known vulnerabilities in our products' dependencies.,,,,,
Github Advanced Security,Assess,tools,TRUE,We could use GHAS to scan for known vulnerabilities in our products' dependencies.,,,,,
Feature Flagging,Adopt,tools,FALSE,If your usage of feature flagging becomes sufficiently complicated then it's time to use <a href='https://learn.microsoft.com/en-us/azure/azure-app-configuration/concept-feature-management'>Azure App Configuration</a>.,,,,,
Kubernetes,Hold,platforms,TRUE,Granted <a href='https://kubernetes.io/'>K8S</a> is the undeniable winner of orchestration tools. We don't want the managment overhead a K8S cluster an prefer higher level PaaS services such as Azure App Service or Spring Apps,,,,,
Oracle SOA,Hold,platforms,FALSE,Oracle SOA is an Oracle based BPM engine.We are moving towards Spring Boot and Azure. No new development should be started.                                                                                                                                                                         ,,,,,
Oracle OSB,Hold,platforms,FALSE,Oracle Service Bus is an Oracle based Enterprise Service Bus. We are moving towards Spring Boot and Azure. No new development should be started.                                                                                                                                                                         ,,,,,
Oracle Weblogic,Hold,platforms,FALSE,Oracle Weblogic is an Oracle developed Web server used for serving ADF and FORMS applications. We are moving towards Spring Boot and Azure. No new development should be started.                                                                                                                                                                         ,,,,,
Azure SQL,Adopt,platforms,FALSE,"When a product needs to store more complex data than it can fit in a flat file, we ask the customer for a SQL DB.",,,,,
Azure PostgreSQL as backing store,Adopt,platforms,TRUE,"If there's a very good reason to use a lightweight/free database engine, we should choose Postgres.",,,,,
Azure Storage Accounts as backing store,Adopt,platforms,TRUE,"If there's a reason to use a highly scalable blob store, we should choose Azure storage Accounts. E.g. Large files, sftp access, datalake.",,,,,
Azure Key Vault,Adopt,platforms,TRUE,We recommend <a href='https://learn.microsoft.com/da-dk/azure/key-vault/general/overview'>Azure Key Vault</a> for storing secrets.,,,,,
Azure App Configuration,Adopt,platforms,TRUE,We recommend <a href='https://learn.microsoft.com/en-us/azure/azure-app-configuration/concept-feature-management'>Azure App Configuration</a> for storing configurations and feature flagging.,,,,,
Azure Service Bus,Adopt,platforms,TRUE,TBC,,,,,
Azure Event Hubs,Adopt,platforms,TRUE,TBC,,,,,
Azure Spring Apps,Adopt,platforms,TRUE,TBC,,,,,
Azure App Service,Adopt,platforms,TRUE,TBC,,,,,
Azure Functions,Adopt,platforms,TRUE,TBC,,,,,
Azure Application Insights,Adopt,tools,FALSE,All applications should use Application Insights as the default developer telemetry platform (incl. feature usage and error reporting).,,,,,
Azure Monitor,Adopt,tools,FALSE,All applications should use Application Monitor as the central logging platform (incl. alerting on usage and error reporting).,,,,,
Azure Data Factory,Adopt,tools,FALSE,TBC,,,,,
Azure Databricks,Adopt,platforms,FALSE,TBC,,,,,
Azure Purview,Adopt,tools,FALSE,TBC,,,,,
Airflow,Trial,tools,FALSE,TBC,,,,,
RabbitMQ,Hold,platforms,TRUE,We are moving of RabbitMQ toward Azure Service Bus for 'Queues' and Azure Event Hub for 'Topics'.  No new development should be started.,,,,,
Consul,Hold,platforms,TRUE,We are moving of Consul toward Azure App Configuration.,,,,,
Graphana,Hold,tools,TRUE,We are moving of Grapaha towards Azure Monitor.,,,,,
Prometheus,Hold,tools,TRUE,We are moving of Prometheus toward Azure Monitor.,,,,,
Virtual Machines,Hold,platforms,FALSE,Prefer using higher level PaaS services.,,,,,
CLIs,Adopt,techniques,FALSE,"Product should, where possible, expose functionality via a CLI.",,,,,
RESTful APIs,Adopt,techniques,FALSE,A REST architectural style is our default choice for building web APIs. Deviations can be made when it makes sense to do so.,,,,,
Infrastructure as code,Adopt,techniques,FALSE,Infrastructure should be provisioned through code rather than manually (except for ad-hoc testing),,,,,
Automated code style settings,Adopt,techniques,FALSE,Codebases should be formatted consistently. Automated code-style settings achieve this without fuss.,,,,,
Static code analysis (linters),Adopt,techniques,FALSE,Static code analysis is invaluable for automatically checking for problems in code. We use ESLint for JS and Roslyn-based analyzers for .NET. We also experimented with SonarQube but our implementation wasn't giving us confidence.,,,,,
Semantic Versioning,Adopt,techniques,FALSE,We should use semver for all our versioning needs unless there's a compelling reason not to.,,,,,
Database Agnosticism,Adopt,techniques,TRUE,We aim for feature parity between products that support different database engines.,,,,,
Feature Flags,Adopt,techniques,FALSE,"Feature Flags are a great technique for minimizing long-lived feature branches. Our recommendation is to focus on simplicity - if you find yourself writing substantial code to support Feature Flags, consider using a third-party solution.",,,,,
Continuous delivery,Adopt,techniques,FALSE,Products should be ready for release at any time.,,,,,
Continuous Deployment,Assess,techniques,TRUE,"We'd like to evaluate technology that increases our deployment frequency, with a view to getting value into the hands of our users as quickly as possible.",,,,,
Build inside Docker containers,Adopt,techniques,FALSE,"We should reduce build dependencies by building and testing our products inside containers. This is a pre-requisite for performing builds on cloud based CI providers, e.g. GitHub",,,,,
AI/ML,Adopt,techniques,FALSE,"AI/ML are becoming commoditized. Off-the-shelf software is available for predictive modelling, text analysis, anomaly detection and much more.",,,,,
Domain Driven Design,Assess,techniques,FALSE,"Domain-Driven Design (DDD) defines many concepts and patterns that help design software effectively, in line with the business requirements.",,,,,
Automation/Low-code solutions,Assess,techniques,TRUE,"Remote is driving a digital transformation across industries. Low-code solutions, such as Power Apps, allow organizations to modernize these processes.",,,,,
Git Ops,Assess,techniques,TRUE,"The core idea of GitOps is having a Git repository that always contains declarative descriptions of the infrastructure currently desired in the production environment and an automated process to make the production environment match the described state in the repository. If you want to deploy a new application or update an existing one, you only need to update the repository - the automated process handles everything else. It’s like having cruise control for managing your applications in production. <a href='https://www.gitops.tech/'>Read more</a>, currently being trialled for Platform Hosted",,,,,
DAPR,Assess,langlib,TRUE,"DAPR (Distributed Application Runtime - <a href='https://dapr.io/'>https://dapr.io/</a>) is an abstraction layer for use in a distributed application, currently being trialled by Platform for both Hosted and Enterprise. It is used to standardise how to communicate external systems in such a way we can uniformly add features through the DAPR sidecar",,,,,
Axon,Assess,langlib,TRUE,"<a href='https://developer.axoniq.io/'>Axon</a>) is an abstraction layer for use in a Domain Driven Design development methodology. Axon provides a unified, productive way of developing Java applications that can evolve without significant refactoring from a monolith to Event-Driven microservices.",,,,,
Asynchronous state management in React,Adopt,techniques,TRUE,"Asynchronous state management in React should be delegated to a third-party framework such as <a href='https://tanstack.com/query/v4/docs/overview'>react-query</a>. This avoids manual management of promises' states (e.g. loading/errors), and allows using suspense and error boundaries in modern React.",,,,,
